0
0
*******************
-1.000000	0
-1.000000	8
-0.800000	8
-0.800000	0
-0.800000	0
-0.800000	40
-0.600000	40
-0.600000	0
-0.600000	0
-0.600000	111
-0.400000	111
-0.400000	0
-0.400000	0
-0.400000	201
-0.200000	201
-0.200000	0
-0.200000	0
-0.200000	244
0.000000	244
0.000000	0
0.000000	0
0.000000	207
0.200000	207
0.200000	0
0.200000	0
0.200000	114
0.400000	114
0.400000	0
0.400000	0
0.400000	63
0.600000	63
0.600000	0
0.600000	0
0.600000	9
0.800000	9
0.800000	0
0.800000	0
0.800000	3
1.000000	3
1.000000	0
